diseases_CUI,Name
C0012634,Disease
C0003873,Rheumatoid Arthritis
C0020538,Hypertensive disease
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
C0004096,Asthma
C0030567,Parkinson Disease
C0002395,Alzheimer's Disease
C0004238,Atrial Fibrillation
C5203670,COVID-19 Virus Disease
C0011847,Diabetes
C0524910,"Hepatitis C, Chronic"
C0150055,Chronic pain
C0014544,Epilepsy
C0029456,Osteoporosis
C0751956,Acute Cerebrovascular Accidents
C0011854,"Diabetes Mellitus, Insulin-Dependent"
C0010346,Crohn Disease
C0021311,Error: 404
C0018801,Heart failure
C0028754,Obesity
C0041296,Tuberculosis
C0024530,Malaria
C0026769,Multiple Sclerosis
C0007222,Cardiovascular Diseases
C0002895,"Anemia, Sickle Cell"
C0021390,Inflammatory Bowel Diseases
C0032460,Polycystic Ovary Syndrome
C0149931,Migraine Disorders
C0242350,Erectile dysfunction
C0271084,Exudative age-related macular degeneration
C0033860,Psoriasis
C0948089,Acute Coronary Syndrome
C0024117,Chronic Obstructive Airway Disease
C0008679,Chronic disease
C0524909,"Hepatitis B, Chronic"
C0017168,Gastroesophageal reflux disease
C0020676,Hypothyroidism
C0011615,"Dermatitis, Atopic"
C0702166,Acne
C0002871,Anemia
C0019196,Hepatitis C
C0029408,Degenerative polyarthritis
C0009324,Ulcerative Colitis
C0038454,Cerebrovascular accident
C0948008,Ischemic stroke
C0035220,"Respiratory Distress Syndrome, Newborn"
C0039082,Syndrome
C0524851,Neurodegenerative Disorders
C0017601,Glaucoma
C0019693,HIV Infections
C0011849,Diabetes Mellitus
C0001175,Acquired Immunodeficiency Syndrome
C0032987,Ectopic Pregnancy
C0020456,Hyperglycemia
C0730285,Macular edema due to diabetes mellitus
C0149871,Deep Vein Thrombosis
C0026691,Mucocutaneous Lymph Node Syndrome
C0020443,Hypercholesterolemia
C0678236,Rare Diseases
C1290884,Inflammatory disorder
C0032914,Pre-Eclampsia
C0162316,Iron deficiency anemia
C0151317,Chronic Infection
C0242339,Dyslipidemias
C0085207,Gestational Diabetes
C0018802,Congestive heart failure
C0155626,Acute myocardial infarction
C0004364,Autoimmune Diseases
C0018213,Graves Disease
C0002792,anaphylaxis
C0878773,Overactive Bladder
C0409959,"Osteoarthritis, Knee"
C0008312,Primary Biliary Cholangitis
C0041327,"Tuberculosis, Pulmonary"
C0036323,Schistosomiasis
C0271561,Somatotropin deficiency
C0027765,nervous system disorder
C0009450,Communicable Diseases
C0020542,Pulmonary Hypertension
C0595921,Disorder of intraocular pressure
C0024535,"Malaria, Falciparum"
C0029001,Onchocerciasis
C0242383,Age related macular degeneration
C0263338,Chronic Urticaria
C0003811,Cardiac Arrhythmia
C0085786,Hamman-Rich syndrome
