drugs_CUI,Name
C0013227,Pharmaceutical Preparations
C0025677,methotrexate
C0025598,metformin
C0001617,Adrenal Cortex Hormones
C0023570,levodopa
C0354604,oral anticoagulants
C0021641,Insulin
C0035525,ribavirin
C0242708,"Antirheumatic Drugs, Disease-Modifying"
C0043031,warfarin
C0242402,Opioids
C0012544,Diphosphonates
C0032143,alteplase
C0666743,infliximab
C1136254,Microbicides
C0042210,Vaccines
C0003299,Antiepileptic Agents
C0003015,Angiotensin-Converting Enzyme Inhibitors
C0243192,agonists
C0001645,Adrenergic beta-Antagonists
C0003364,Antihypertensive Agents
C0021747,Interferons
C0006684,Calcium Channel Blockers
C4726677,remdesivir
C0020402,hydroxyurea
C1318700,Phosphodiesterase 5 inhibitor
C1566537,ranibizumab
C0070166,clopidogrel
C0529793,sildenafil
C0038766,Sulfonylurea Compounds
C1609165,tocilizumab
C1172734,natalizumab
C0935929,Antidiabetics
C0209738,lamivudine
C0527316,donepezil
C0008425,Cholinesterase Inhibitors
C0717758,etanercept
C0020336,hydroxychloroquine
C0017725,glucose
C0358591,Proton Pump Inhibitors
C0015980,interferon-beta
C0005522,Biological Products
C0393022,rituximab
C0040165,levothyroxine
C3660996,dupilumab
C0022265,isotretinoin
C0006949,carbamazepine
C0003195,Anti-Arrhythmia Agents
C0022209,isoniazid
C1456408,liraglutide
C0052430,artemisinin
C0302583,iron
C3653501,DIRECT ACTING ANTIVIRALS
C0971023,entecavir
C0178601,Dopamine Agonists
C0002199,Interferon-alpha
C0012798,Diuretics
C0003402,Antioxidants
C0003374,Antimalarials
C1122087,adalimumab
C0127615,mesalamine
C0001046,Acetylcholinesterase Inhibitors
C0003280,Anticoagulants
C0008269,chloroquine
C1611640,Therapeutic agent (substance)
C0003211,"Anti-Inflammatory Agents, Non-Steroidal"
C0376541,Recombinant Erythropoietin
C0034085,Pulmonary Surfactants
C0039771,theophylline
C0042291,valproic acid
C0102118,alendronate
C0650607,Basal insulin
C0071097,pioglitazone
C0003451,Antiviral Agents
C0020261,hydrochlorothiazide
C3273807,Sodium-Glucose Transporter 2 Inhibitors
C0001927,albuterol
C0006280,Bronchodilator Agents
C0019139,"Heparin, Low-Molecular-Weight"
C0085297,"immunoglobulins, intravenous"
C2917359,GLP-1 Receptor Agonist [EPC]
C0004057,aspirin
C0025242,memantine
C0069610,Org 10172
C0360714,Hydroxymethylglutaryl-CoA Reductase Inhibitors
C0021641|3630,Error: 404
C0051696,amlodipine
C1567966,Triptans
C0377265,levetiracetam
C1176316,tadalafil
C0002772,"Analgesics, Opioid"
C0213771,tiotropium
C0063041,leflunomide
C0054015,nesiritide
C0031507,phenytoin
C0020616,Hypoglycemic Agents
C0003286,Anticonvulsants
C0597573,Error: 404
C0595726,Leukotriene Antagonists
C0016018,Fibrinolytic Agents
C0038418,streptokinase
C0010592,cyclosporine
C0002598,amiodarone
C0028066,nifedipine
C0070093,teriparatide
C0040125,Antithyroid Agents
C0167117,exenatide
C0014822,Erythropoietin
C0014563,epinephrine
C0796392,bevacizumab
C0003385,Muscarinic Antagonists
C0020196,hyaluronic acid
C0042105,ursodiol
C0054201,budesonide
C0298130,montelukast
C0003191,Antirheumatic Agents
C0064636,lamotrigine
C0033607,Protease Inhibitors
C0075632,sumatriptan
C0032911,praziquantel
C0037663,Growth Hormone
C0004482,azathioprine
C0649350,rivastigmine
C0052432,artesunate
C0038317,Steroids
C0907402,insulin glargine
C0054836,carvedilol
C0966225,omalizumab
C0936150,artemether / lumefantrine
C0016967,galantamine
C0022322,ivermectin
C0289884,glatiramer acetate
C0018026,gold
C0042866,vitamin D
C0298067,pirfenidone
C0010583,cyclophosphamide
C0076110,terbinafine
C0012265,digoxin
C0034417,quinine
C1874451,Basis
C0008783,cimetidine
C1541483,eculizumab
C1827106,Dipeptidyl-Peptidase IV Inhibitors
C0874161,oseltamivir
C1257987,Thiazolidinediones
C3854325,Janus kinase inhibitor
C0009262,colchicine
C0058218,dimethyl fumarate
C1337242,cinacalcet
C0015506,factor VIII
C0036078,sulfasalazine
C0002144,allopurinol
C0003308,Antifungal Agents
C0016327,Fluorides
C0252643,bosentan
C0033497,propranolol
C0006938,captopril
C0383429,alemtuzumab
C0003209,Anti-Inflammatory Agents
C0700599,pyrimethamine / sulfadoxine
C0066928,mullerian-inhibiting hormone
C0030817,penicillamine
C0001551,Immunologic Adjuvants
C4033631,sacubitril / valsartan
C0002771,Analgesics
C1620287,prasugrel
C0117996,fluticasone propionate
C0011777,dexamethasone
C0304604,Topical form corticosteroids
C0043474,zidovudine
C0061323,glimepiride
C0022860,labetalol
C0004147,atenolol
C0028128,nitric oxide
C0073379,riluzole
C0039245,tacrine
C0080356,valproate
C0289313,rosiglitazone
C0003596,apomorphine
C1527392,Immunomodulators
C0017628,glyburide
C0076829,topiramate
C0025644,methimazole
C1999375,ticagrelor
C3179547,secukinumab
C0209368,mycophenolate mofetil
C0010961,danazol
C0971579,vardenafil
C0030054,oxygen
C0724693,sildenafil citrate
C0393080,voriconazole
C0937950,darbepoetin alfa
C0017066,ganciclovir
C0008809,ciprofloxacin
C0031412,phenobarbital
C0076275,orlistat
C0014025,enalapril
C0663241,linezolid
C3885068,semaglutide
C0004906,beclomethasone dipropionate
C0041044,Trimethoprim-Sulfamethoxazole Combination
C0073992,salmeterol
C1134681,Endothelin receptor antagonist
C1570906,vildagliptin
C0022957,lactulose
C0005525,Biological Response Modifiers
C0013030,dopamine
C0033567,epoprostenol
C0003009,angiotensin II
C2930696,tofacitinib
C0246904,levosimendan
C0006863,cannabidiol
C0034272,pyridoxine
C4301236,nusinersen
C0034665,ranitidine
C0003448,Antitubercular Agents
C0257685,zoledronic acid
C2930789,nintedanib
C0001047,acetylcysteine
C0292818,ritonavir
C0254119,interferon beta-1a
C2353951,dapagliflozin
C1099776,tenofovir disoproxil fumarate
C0053230,benznidazole
C3490348,empagliflozin
C0006230,bromocriptine
C0050559,acitretin
C0040616,Anti-Anxiety Agents
C0065767,calcipotriene
C0000618,mercaptopurine
C0010467,curcumin
C0050393,acarbose
C1443650,Neuraminidase inhibitor
C1608841,ustekinumab
C3653316,Vitamin K antagonists
C1739768,rivaroxaban
C0216784,valsartan
C0126174,losartan
C0090306,latanoprost
C0546859,clomiphene citrate
C1138226,favipiravir
C0733470|3439,Error: 404
C1690432,denosumab
C0600370,methacholine
C0521942,Angiotensin II receptor antagonist
C0002556,Aminoglycosides
C0060657,formoterol
C0039601,testosterone
C0028833,octreotide
C0004259,atropine
C0025153,mefloquine
C0003360,Error: 404
C0033511,propylthiouracil
C1441129,Radioactive Iodine
C0060389,finasteride
C0040866,triamcinolone acetonide
C0073374,rifaximin
C0040613,tranexamic acid
C0012694,cromolyn sodium
C0037982,spironolactone
C0074554,simvastatin
C0388753,tolterodine
C0012802,Thiazide Diuretics
C1882138,ocrelizumab
C0028156,nitrofurantoin
C0026259,mitoxantrone
C0025872,metronidazole
C5435024,molnupiravir
C1718097,New medications
C0031453,phenylalanine
C0357126,epoetin alfa
C0017718,glucosamine
C0003241,Antibodies
C0064113,itraconazole
C1699926,fingolimod
C0913469,pegvisomant
C0002641,amodiaquine
C2742797,vedolizumab
C1723401,belimumab
C0020223,hydralazine
C1144709,Natriuretic Peptides
C0242912,Neuroprotective Agents
C0244404,raloxifene
C0028978,omeprazole
C0376541|2056,Error: 404
C0286651,atorvastatin
C0074710,pramipexole
C0006055,Botulinum Toxins
C0014695,ergocalciferol
C0026196,minoxidil
C0001655,corticotropin
C0939237,lopinavir / ritonavir
C0642228,N(4)-oleylcytosine arabinoside
C0002006,aldosterone
C1619966,abatacept
C4542171,ivacaftor / tezacaftor
C0244713,interferon beta-1b
C1099677,solifenacin
C0021081,Immunosuppressive Agents
C0003289,Antidepressive Agents
C0538927,celecoxib
C0043047,water
C0032950,prednisolone
C0068006,miltefosine
C0003442,"lymphocyte immune globulin, anti-thymocyte globulin"
C0048470,argatroban
C0732165|6750,Error: 404
C0024480,magnesium sulfate
C0015491,factor IX
C0013023,Dopa
C0145185,terlipressin
C0048044,vigabatrin
C0025859,metoprolol
C1174995,efalizumab
C0021246,indomethacin
C0246719,risedronate
C3852217,guselkumab
C0043603,pamidronate
C0040233,timolol
C3537192,Tumor Necrosis Factor Inhibitors
C1170000,drotrecogin alfa
C0002007,Aldosterone Antagonists
C0249529,febuxostat
C0003166,anthralin
C0036579,selegiline
C0037567,sodium valproate
C0001911,albendazole
C0006674,calcitriol
C0242896,Anticholinergic Agents
C0384228,tenofovir
C1134659,aflibercept
C0002844,Androgens
C0949665,Fluoroquinolones
C0025741,methyldopa
C1678805,apremilast
C0034239,pyrazinamide
C0028005,nicardipine
C0657912,pregabalin
C0082607,fluticasone
C1619629,deferasirox
C0014964,ethambutol
C0006675,calcium
C0019168,Hepatitis B Surface Antigens
C0025219,melatonin
C0032952,prednisone
C0042523,verapamil
C0002520,Amino Acids
C0026056,midazolam
C0085149,tacrolimus
C1831808,apixaban
C0019134,heparin
C0040615,Antipsychotic Agents
C0007974,Chelating Agents
C1254351,Pharmacologic Substance
C3489764,ixekizumab
C1579410,Nucleoside Analogs
C0027396,naproxen
C0074493,sibutramine
C0540694,adefovir dipivoxil
C0001367,acyclovir
C0354100,Loop Diuretics
C0599685,Anti-Retroviral Agents
C1145760,treprostinil
C0037111,Silicone Oils
C0248719,telmisartan
C0010980,dapsone
C0013036,Dopaminergic Agents
C0012091,diclofenac
C0060926,gabapentin
C0006668,calcitonin
C0016277,fluconazole
C0245109,anakinra
C0002335,alprostadil
C0070694,edaravone
C0035339,Retinoids
C0391001,peginterferon alfa-2a
C0033126,primaquine
C0040349,Tocolytic Agents
C0071105,piperaquine
C0027996,niacin
C1096768,meglumine antimoniate
C1562036,Calcineurin inhibitor
C0009014,clonidine
C0766326,dronedarone
C0965618,roflumilast
C0024808,Marihuana
C0025815,methylprednisolone
C0907160,Pegylated Interferon Alfa
C1299007,alpha-Glucosidase Inhibitors
C0003968,ascorbic acid
C0050175,adefovir
C0257190,ivabradine
C0282386,levofloxacin
C0024730,mannitol
C0009905,"Contraceptives, Oral"
C0026549,morphine
C0962603,alefacept
C0525678,rasagiline
C1176308,tolvaptan
C0069805,oxybutynin
C0107994,cabergoline
C0042402,Vasodilator Agents
C0796392|7422,Error: 404
C4044947,baricitinib
C0016860,furosemide
C0014939,estrogens
C0092801,cladribine
C0065374,lisinopril
C0017687,glucagon
C0012963,dobutamine
C1099414,pimecrolimus
C5139934,tirzepatide
C0033568,"Prostaglandins, Synthetic"
C0004320,auranofin
C0021547,inositol
C0032912,prazosin
C2698764,perampanel
C0541746,Thiazides
C0069751,oxcarbazepine
C0000970,acetaminophen
C0073096,resveratrol
C0085826,Antiplatelet Agents
C0245561,duloxetine
C1135662,dornase alfa
C0040864,triamcinolone
C0021735,interferon alfa-2b
C0041041,trimethoprim
C0006982,carbidopa
C0596087,Angiogenesis Inhibitors
